trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1,06:09:00,06:09:00,87,1,,0,0,1
1,06:17:00,06:17:00,20,2,,0,0,1
1,06:29:00,06:29:00,8,3,,0,0,1
1,06:37:00,06:37:00,19,4,,0,0,1
1,06:49:00,06:49:00,17,5,,0,0,1
1,06:52:00,06:52:00,4,6,,0,0,1
2,06:33:00,06:33:00,87,1,,0,0,1
2,06:41:00,06:41:00,20,2,,0,0,1
2,06:53:00,06:53:00,8,3,,0,0,1
2,07:01:00,07:01:00,19,4,,0,0,1
2,07:13:00,07:13:00,17,5,,0,0,1
2,07:16:00,07:16:00,4,6,,0,0,1
4,06:57:00,06:57:00,87,1,,0,0,1
4,07:05:00,07:05:00,20,2,,0,0,1
4,07:17:00,07:17:00,8,3,,0,0,1
4,07:25:00,07:25:00,19,4,,0,0,1
4,07:37:00,07:37:00,17,5,,0,0,1
4,07:40:00,07:40:00,4,6,,0,0,1
5,07:21:00,07:21:00,87,1,,0,0,1
5,07:29:00,07:29:00,20,2,,0,0,1
5,07:41:00,07:41:00,8,3,,0,0,1
5,07:49:00,07:49:00,19,4,,0,0,1
5,08:01:00,08:01:00,17,5,,0,0,1
5,08:04:00,08:04:00,4,6,,0,0,1
6,07:45:00,07:45:00,87,1,,0,0,1
6,07:53:00,07:53:00,20,2,,0,0,1
6,08:05:00,08:05:00,8,3,,0,0,1
6,08:13:00,08:13:00,19,4,,0,0,1
6,08:25:00,08:25:00,17,5,,0,0,1
6,08:28:00,08:28:00,4,6,,0,0,1
9,08:09:00,08:09:00,87,1,,0,0,1
9,08:17:00,08:17:00,20,2,,0,0,1
9,08:29:00,08:29:00,8,3,,0,0,1
9,08:37:00,08:37:00,19,4,,0,0,1
9,08:49:00,08:49:00,17,5,,0,0,1
9,08:52:00,08:52:00,4,6,,0,0,1
12,08:33:00,08:33:00,87,1,,0,0,1
12,08:41:00,08:41:00,20,2,,0,0,1
12,08:53:00,08:53:00,8,3,,0,0,1
12,09:01:00,09:01:00,19,4,,0,0,1
12,09:13:00,09:13:00,17,5,,0,0,1
12,09:16:00,09:16:00,4,6,,0,0,1
13,08:57:00,08:57:00,87,1,,0,0,1
13,09:05:00,09:05:00,20,2,,0,0,1
13,09:17:00,09:17:00,8,3,,0,0,1
13,09:25:00,09:25:00,19,4,,0,0,1
13,09:37:00,09:37:00,17,5,,0,0,1
