route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",1,1,"Hunters Point South",1201,1,12,17
"ER",1,2,"Hunters Point South",1301,1,13,17
"ER",1,4,"Hunters Point South",1401,1,14,17
"ER",1,5,"Hunters Point South",1102,1,11,17
"ER",1,6,"Hunters Point South",1203,1,12,17
"ER",1,9,"Hunters Point South",1303,1,13,17
"ER",1,12,"Hunters Point South",1403,1,14,17
"ER",1,13,"Hunters Point South",1104,1,11,17
"ER",1,17,"Hunters Point South",1205,1,12,17
"ERS",1,20,"East River Midtown Shuttle",30101,1,301,112
"ERS",1,21,"East River Midtown Shuttle",30201,1,302,112
"ER",1,22,"Hunters Point South",1305,1,13,17
"ER",1,23,"Hunters Point South",1405,1,14,17
"ER",1,34,"Hunters Point South",1106,1,11,17
"ER",1,35,"Hunters Point South",1307,1,13,17
"ER",1,36,"Hunters Point South",1407,1,14,17
"ER",1,37,"Hunters Point South",1108,1,11,17
"ER",1,38,"Hunters Point South",1309,1,13,17
"ER",1,39,"Hunters Point South",1409,1,14,17
"ER",1,40,"Hunters Point South",1110,1,11,17
"ER",1,41,"Hunters Point South",1311,1,13,17
"ER",1,42,"Hunters Point South",1411,1,14,17
"ER",1,43,"Hunters Point South",1112,1,11,17
"ER",1,44,"Hunters Point South",1313,1,13,17
"ER",1,45,"Hunters Point South",1207,1,12,17
"ER",1,47,"Hunters Point South",1413,1,14,17
"ER",1,48,"Hunters Point South",1114,1,11,17
"ER",1,49,"Hunters Point South",1315,1,13,17
"ER",1,50,"Hunters Point South",1209,1,12,17
"ER",1,51,"Hunters Point South",1415,1,14,17
"ER",1,52,"Hunters Point South",1116,1,11,17
"ER",1,53,"Hunters Point South",1317,1,13,17
"ER",1,54,"Hunters Point South",1211,1,12,17
"ER",1,55,"Hunters Point South",1118,1,11,17
"ER",1,56,"Hunters Point South",1319,1,13,17
"ER",1,57,"Hunters Point South",1213,1,12,17
"ER",1,58,"Wall St./Pier 11",1101,0,11,18
"ER",1,59,"Wall St./Pier 11",1202,0,12,18
"ER",1,60,"Wall St./Pier 11",1302,0,13,18
"ER",1,61,"Wall St./Pier 11",1402,0,14,18
"ER",1,62,"Wall St./Pier 11",1103,0,11,18
"ER",1,63,"Wall St./Pier 11",1204,0,12,18
"ER",1,64,"Wall St./Pier 11",1304,0,13,18
"ER",1,65,"Wall St./Pier 11",1404,0,14,18
"ER",1,66,"Wall St./Pier 11",1105,0,11,18
"ER",1,67,"Wall St./Pier 11",1206,0,12,18
"ER",1,68,"Wall St./Pier 11",1306,0,13,18
"ER",1,69,"Wall St./Pier 11",1406,0,14,18
"ER",1,70,"Wall St./Pier 11",1107,0,11,18
"ER",1,71,"Wall St./Pier 11",1308,0,13,18
"ER",1,72,"Wall St./Pier 11",1408,0,14,18
"ER",1,73,"Wall St./Pier 11",1109,0,11,18
"ER",1,74,"Wall St./Pier 11",1310,0,13,18
"ER",1,75,"Wall St./Pier 11",1410,0,14,18
"ER",1,76,"Wall St./Pier 11",1111,0,11,18
"ER",1,77,"Wall St./Pier 11",1312,0,13,18
"ER",1,78,"Wall St./Pier 11",1412,0,14,18
"ER",1,79,"Wall St./Pier 11",1113,0,11,18
"ER",1,80,"Wall St./Pier 11",1314,0,13,18
"ER",1,81,"Wall St./Pier 11",1208,0,12,18
"ER",1,82,"Wall St./Pier 11",1414,0,14,18
"ER",1,83,"Wall St./Pier 11",1115,0,11,18
"ER",1,84,"Wall St./Pier 11",1316,0,13,18
"ER",1,85,"Wall St./Pier 11",1210,0,12,18
"ER",1,86,"Wall St./Pier 11",1416,0,14,18
"ER",1,87,"Wall St./Pier 11",1117,0,11,18
"ER",1,88,"Wall St./Pier 11",1318,0,13,18
"ER",1,89,"Wall St./Pier 11",1212,0,12,18
"ER",1,90,"Wall St./Pier 11",1119,0,11,18
"ER",1,91,"Wall St./Pier 11",1320,0,13,18
"ER",2,92,"Hunters Point South",1103,1,11,17
"ER",2,93,"Hunters Point South",1203,1,12,17
"ER",2,94,"Hunters Point South",1105,1,11,17
"ER",2,95,"Hunters Point South",1205,1,12,17
"ER",2,96,"Hunters Point South",1301,1,13,17
"ER",2,97,"Hunters Point South",1401,1,14,17
"ER",2,98,"Hunters Point South",1107,1,11,17
"ERS",1,99,"East River Midtown Shuttle",30102,1,301,112
"ER",2,100,"Hunters Point South",1501,1,15,17
"ER",2,101,"Hunters Point South",1207,1,12,17
"ER",2,102,"Hunters Point South",1303,1,13,17
"ER",2,103,"Hunters Point South",1403,1,14,17
"ER",2,104,"Hunters Point South",1109,1,11,17
"ER",2,105,"Hunters Point South",1503,1,15,17
